Year,Australia,Canada,France,Germany,Italy,Japan,Mexico,South Korea,UK,USA
1979,2.72,1.22,3.48,2.53,4.32,2.58,1.35,2.36,3.18,1.66
1980,2.70,1.90,3.48,2.74,4.20,2.96,1.39,1.78,2.85,2.15
1981,2.25,1.45,3.71,2.70,4.46,2.92,1.07,1.75,2.39,2.14
1982,2.03,1.12,3.86,2.27,4.57,2.62,1.50,1.85,3.23,2.13
1983,1.35,1.81,3.93,2.39,4.38,2.89,1.21,2.10,2.95,2.65
1984,1.04,1.63,3.51,2.25,4.22,2.53,1.24,1.75,2.20,1.03
1985,2.56,1.36,3.77,2.14,4.56,2.70,1.23,1.92,3.18,2.17
1986,2.55,1.14,3.76,2.02,3.89,2.95,1.36,2.68,2.89,1.49
1987,1.04,1.50,3.96,2.00,4.68,2.75,1.37,2.64,2.81,1.31
1988,1.87,1.76,3.67,2.06,4.51,2.89,1.03,1.66,3.27,2.22
1989,1.23,1.77,3.46,2.00,4.53,2.62,1.07,2.55,2.34,2.41
1990,1.88,1.87,3.63,2.65,4.59,3.16,1,2.05,2.82,1.16
1991,1.96,1.92,3.45,2.9,4.5,3.46,1.3,2.49,3.01,1.14
1992,1.89,1.73,3.56,3.27,4.53,3.58,1.5,2.65,3.06,1.13
1993,1.73,1.57,3.41,3.07,3.68,4.16,1.56,2.88,2.84,1.11
1994,1.84,1.45,3.59,3.52,3.7,4.36,1.48,2.87,2.99,1.11
1995,1.95,1.53,4.26,3.96,4,4.43,1.11,2.94,3.21,1.15
1996,2.12,1.61,4.41,3.94,4.39,3.64,1.25,3.18,3.34,1.23
1997,2.05,1.62,4,3.53,4.07,3.26,1.47,3.34,3.83,1.23
1998,1.63,1.38,3.87,3.34,3.84,2.82,1.49,3.04,4.06,1.06
1999,1.72,1.52,3.85,3.42,3.87,3.27,1.79,3.8,4.29,1.17
2000,1.94,1.86,3.8,3.45,3.77,3.65,2.01,4.18,4.58,1.51
2001,1.71,1.72,3.51,3.4,3.57,3.27,2.2,3.76,4.13,1.46
2002,1.76,1.69,3.62,3.67,3.74,3.15,2.24,3.84,4.16,1.36
2003,2.19,1.99,4.35,4.59,4.53,3.47,2.04,4.11,4.7,1.59
2004,2.72,2.37,4.99,5.24,5.29,3.93,2.03,4.51,5.56,1.88
2005,3.23,2.89,5.46,5.66,5.74,4.28,2.22,5.28,5.97,2.3
2006,3.54,3.26,5.88,6.03,6.1,4.47,2.31,5.92,6.36,2.59
2007,3.85,3.59,6.6,6.88,6.73,4.49,2.4,6.21,7.13,2.8
2008,4.45,4.08,7.51,7.75,7.63,5.74,2.45,5.83,7.42,3.27
2009,3.76,3.95,7.36,7.44,7.40,5.94,2.02,5.58,7.51,2.19
2010,4.95,3.89,7.66,6.71,6.97,5.53,2.97,5.63,7.87,2.74
2011,4.35,4.51,7.53,8.05,6.66,4.90,2.94,5.88,7.76,3.22
2012,3.86,4.83,6.83,8.06,7.66,5.92,2.02,5.58,7.99,3.50
2013,4.69,4.28,6.64,7.08,7.62,6.33,2.33,5.26,8.99,2.19
2014,4.21,4.41,6.94,6.72,6.91,5.89,2.74,5.97,8.81,3.40
2015,3.56,4.28,7.79,7.42,7.05,5.82,2.80,6.02,8.59,2.18
2016,3.83,4.61,7.65,6.92,7.53,5.44,2.15,5.38,7.43,2.90
2017,3.79,4.17,8.02,7.70,6.72,6.88,2.13,5.25,7.74,2.56
2018,3.91,4.69,7.90,6.76,7.80,5.36,2.50,6.00,7.60,2.81
2019,4.94,3.87,6.60,7.68,7.43,5.81,2.31,5.21,8.75,3.13
2020,4.59,3.73,7.32,6.56,7.08,5.67,2.50,5.73,7.86,2.59
2021,3.70,4.71,7.40,6.86,6.92,6.82,2.25,5.42,8.59,2.80
2022,4.72,3.78,6.78,7.67,6.71,5.26,2.28,6.06,7.45,2.49
